2025-02-25 02:58:55 status not-installed libkrb5-3:arm64 <none>
2025-02-25 02:58:55 status installed libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 remove libk5crypto3:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:55 status half-configured libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status half-installed libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status config-files libk5crypto3:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status not-installed libk5crypto3:arm64 <none>
2025-02-25 02:58:55 status installed libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:55 remove libkeyutils1:arm64 1.6.3-2 <none>
2025-02-25 02:58:55 status half-configured libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:55 status half-installed libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:55 status config-files libkeyutils1:arm64 1.6.3-2
2025-02-25 02:58:55 status not-installed libkeyutils1:arm64 <none>
2025-02-25 02:58:55 status installed libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 remove libkrb5support0:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:55 status half-configured libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status half-installed libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status config-files libkrb5support0:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status not-installed libkrb5support0:arm64 <none>
2025-02-25 02:58:55 status installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:55 remove libldap-2.5-0:arm64 2.5.13+dfsg-5 <none>
2025-02-25 02:58:55 status half-configured libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:55 status half-installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:55 status config-files libldap-2.5-0:arm64 2.5.13+dfsg-5
2025-02-25 02:58:55 status not-installed libldap-2.5-0:arm64 <none>
2025-02-25 02:58:55 status installed libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:55 remove libnghttp2-14:arm64 1.52.0-1+deb12u2 <none>
2025-02-25 02:58:55 status half-configured libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:55 status half-installed libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:55 status config-files libnghttp2-14:arm64 1.52.0-1+deb12u2
2025-02-25 02:58:55 status not-installed libnghttp2-14:arm64 <none>
2025-02-25 02:58:55 status installed libpsl5:arm64 0.21.2-1
2025-02-25 02:58:55 remove libpsl5:arm64 0.21.2-1 <none>
2025-02-25 02:58:55 status half-configured libpsl5:arm64 0.21.2-1
2025-02-25 02:58:55 status half-installed libpsl5:arm64 0.21.2-1
2025-02-25 02:58:55 status config-files libpsl5:arm64 0.21.2-1
2025-02-25 02:58:55 status not-installed libpsl5:arm64 <none>
2025-02-25 02:58:55 status installed libreadline8:arm64 8.2-1.3
2025-02-25 02:58:55 remove libreadline8:arm64 8.2-1.3 <none>
2025-02-25 02:58:55 status half-configured libreadline8:arm64 8.2-1.3
2025-02-25 02:58:55 status half-installed libreadline8:arm64 8.2-1.3
2025-02-25 02:58:55 status config-files libreadline8:arm64 8.2-1.3
2025-02-25 02:58:55 status not-installed libreadline8:arm64 <none>
2025-02-25 02:58:55 status installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:55 remove librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2025-02-25 02:58:55 status half-configured librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:55 status half-installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:55 status config-files librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-25 02:58:55 status not-installed librtmp1:arm64 <none>
2025-02-25 02:58:55 status installed libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 remove libsasl2-2:arm64 2.1.28+dfsg-10 <none>
2025-02-25 02:58:55 status half-configured libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 status half-installed libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 status config-files libsasl2-2:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 status not-installed libsasl2-2:arm64 <none>
2025-02-25 02:58:55 status installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 remove libsasl2-modules-db:arm64 2.1.28+dfsg-10 <none>
2025-02-25 02:58:55 status half-configured libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 status config-files libsasl2-modules-db:arm64 2.1.28+dfsg-10
2025-02-25 02:58:55 status not-installed libsasl2-modules-db:arm64 <none>
2025-02-25 02:58:55 status installed libssh2-1:arm64 1.10.0-3+b1
